"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations"
"範圍","fànwéi","","5","range","scope, limit, extent, CL:個|个[ge4]"
"方面","fāngmiàn","","5","respect","aspect, field, side, CL:個|个[ge4]"
"方式","fāngshì","","5","way","manner, style, mode, pattern, CL:個|个[ge4]"
"房東","fángdōng","","5","landlord",""
"房客","fángkè","","5","tenant",""
"房屋","fángwū","","5","house","building, CL:所[suo3],套[tao4]"
"訪問","fǎngwèn","","5","to visit","to call on, to interview, CL:次[ci4]"
"放心","fàngxīn","","5","to feel relieved","to feel reassured, to be at ease"
"費用","fèiyòng","","5","cost","expenditure, expense, CL:筆|笔[bi3],個|个[ge4]"
"分開","fēnkāi","","5","to separate","to part"
"份","fèn","","5","classifier for gifts, newspaper, magazine, papers, reports, contracts etc","variant of 分[fen4]"
"豐富","fēngfù","","5","to enrich","rich, plentiful, abundant"
"風格","fēnggé","","5","style",""
"風俗","fēngsú","","5","social custom","CL:個|个[ge4]"
"佛教","fójiào","","5","Buddhism",""
"否則","fǒuzé","","5","if not","otherwise, else, or else"
"夫婦","fūfù","","5","a (married) couple","husband and wife, CL:對|对[dui4]"
"符合","fúhé","","5","in keeping with","in accordance with, tallying with, in line with, to agree with, to accord with, to conform to, to correspond with, to manage, to handle"
"福利","fúlì","","5","material benefit","benefit in kind, (social) welfare"
"服裝","fúzhuāng","","5","dress","clothing, costume, clothes, CL:身[shen1]"
"腐敗","fǔbài","","5","corruption","to corrupt, to rot, rotten"
"付出","fùchū","","5","to pay","to invest (energy or time in a friendship etc)"
"負擔","fùdān","","5","burden","to bear a burden"
"負責","fùzé","","5","to be in charge of","to take responsibility for, to be to blame, conscientious"
"複習","fùxí","","5","variant of 復習|复习[fu4 xi2]",""
"改","gǎi","","5","to change","to alter, to transform, to correct"
"改變","gǎibiàn","","5","to change","to alter, to transform"
"改進","gǎijìn","","5","to improve","to make better, CL:個|个[ge4]"
"改善","gǎishàn","","5","to make better","to improve, CL:個|个[ge4]"
"改天","gǎitiān","","5","another day","some other time, to find another day (for appointment etc), to take a rain check"
"蓋","gài","","5","lid","top, cover, canopy, to cover, to conceal, to build, surname Ge"
"概念","gàiniàn","","5","concept","idea, CL:個|个[ge4]"
"趕","gǎn","","5","to overtake","to catch up with, to hurry, to rush, to try to catch (the bus etc), to drive (cattle etc) forward, to drive (sb) away, to avail oneself of (an opportunity), until"
"趕快","gǎnkuài","","5","at once","immediately"
"趕上","gǎnshàng","","5","to keep up with","to catch up with, to overtake, to chance upon, in time for"
"感動","gǎndòng","","5","to move (sb)","to touch (sb emotionally), moving"
"感想","gǎnxiǎng","","5","impressions","reflections, thoughts, CL:通[tong4],個|个[ge4]"
"感興趣","gǎnxìngqù","","5","to be interested",""
"高速","gāosù","","5","high speed",""
"高中","gāozhōng","","5","senior high school","to pass brilliantly (used in congratulatory fashion), abbr. for 高級中學|高级中学[gao1 ji2 zhong1 xue2]"
"搞","gǎo","","5","to do","to make, to go in for, to set up, to get hold of, to take care of"
"歌曲","gēqǔ","","5","song",""
"歌星","gēxīng","","5","singing star","famous singer"
"隔壁","gébì","","5","next door","neighbor"
"革命","gémìng","","5","revolution","revolutionary (politics), CL:次[ci4]"
"個人","gèrén","","5","individual","personal, oneself"
"個子","gèzi","","5","height","stature, build, size"
"各式各樣","gèshìgèyàng","","5","(of) all kinds and sorts","various"
"各位","gèwèi","","5","everybody","all (guests, colleagues etc), all of you"
"根","gēn","","5","root","basis, classifier for long slender objects, e.g. cigarettes, guitar strings, radical (chemistry), CL:條|条[tiao2]"
"根據","gēnjù","","5","according to","based on, basis, foundation, CL:個|个[ge4]"
"更加","gèngjiā","","5","more (than sth else)","even more"
"公尺","gōngchǐ","","5","meter (unit of length)",""
"公分","gōngfēn","","5","centimeter","gram"
"公共","gōnggòng","","5","public","common, communal"
"公克","gōngkè","","5","gram",""
"公路","gōnglù","","5","highway","road, CL:條|条[tiao2]"
"功夫","gōngfu","","5","skill","art, kung fu, labor, effort"
"功能","gōngnéng","","5","function","capability"
"工具","gōngjù","","5","tool","instrument, utensil, means (to achieve a goal etc)"
"工業","gōngyè","","5","industry",""
"恭喜","gōngxǐ","","5","congratulations","greetings"
"共同","gòngtóng","","5","common","joint, jointly, together, collaborative"
"貢獻","gòngxiàn","","5","to contribute","to dedicate, to devote, contribution, CL:個|个[ge4]"
"溝通","gōutōng","","5","to join","to connect, to link up, to communicate"
"購買","gòumǎi","","5","to purchase","to buy"
"姑娘","gūniáng","","5","girl","young woman, young lady, daughter, paternal aunt (old), CL:個|个[ge4]"
"古","gǔ","","5","ancient","old, paleo-, surname Gu"
"古代","gǔdài","","5","ancient times","olden times"
"古蹟","gǔjī","","5","",""
"古老","gǔlǎo","","5","ancient","old, age-old"
"故意","gùyì","","5","deliberately","on purpose"
"刮","guā","","5","to scrape","to blow, to shave, to plunder, to extort, to blow (of the wind)"
"乖","guāi","","5","(of a child) obedient, well-behaved","clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal"
"觀察","guānchá","","5","to observe","to watch, to survey, to examine, observation, view, perspective, CL:個|个[ge4]"
"觀點","guāndiǎn","","5","point of view","viewpoint, standpoint, CL:個|个[ge4]"
"觀念","guānniàn","","5","notion","thought, concept, sense, views, ideology, general impressions"
"觀眾","guānzhòng","","5","spectators","audience, visitors (to an exhibition etc)"
"罐","guàn","","5","can","jar, pot, variant of 罐[guan4]"
"廣播","guǎngbò","","5","broadcast","broadcasting, to broadcast, (formal) to propagate, to publicize, CL:個|个[ge4]"
"廣場","guǎngchǎng","","5","public square","plaza"
"廣告","guǎnggào","","5","to advertise","a commercial, advertisement, CL:項|项[xiang4]"
"逛","guàng","","5","to stroll","to visit"
"逛街","guàngjiē","","5","to take a walk","to window-shop, to stroll down the street"
"規矩","guījǔ","","5","lit. compass and set square","fig. established standard, rule, customs, practices, fig. upright and honest, well-behaved"
"規模","guīmó","","5","scale","scope, extent, CL:個|个[ge4]"
"鬼","guǐ","","5","ghost","demon, terrible, damnable, clever, sly, crafty, (suffix for sb with a certain vice or addiction etc), one of the 28 constellations"
"貴姓","guìxìng","","5","what is your surname?","(May I ask) your surname?"
"櫃子","guìzi","","5","cupboard","cabinet"
"國內","guónèi","","5","domestic","internal (to a country), civil"
"國外","guówài","","5","abroad","external (affairs), overseas, foreign"
"國王","guówáng","","5","king","CL:個|个[ge4]"
"國語","guóyǔ","","5","Chinese language (Mandarin), emphasizing its national nature","Chinese as a primary or secondary school subject, Chinese in the context of the Nationalist Government, Guoyu, book of historical narrative c. 10th-5th century BC"
"過日子","guòrìzi","","5","to live one's life","to pass one's days, to get along"
"嗨","hāi","","5","oh alas","hey!, hi! (loanword), a high (natural or drug-induced) (loanword)"
"還好","háihǎo","","5","not bad","tolerable, fortunately"
"還要","háiyào","","5","",""
"海報","hǎibào","","5","poster","playbill, notice"
"海灘","hǎitān","","5","beach","CL:片[pian4]"
"海洋","hǎiyáng","","5","ocean","CL:個|个[ge4]"
"害怕","hàipà","","5","to be afraid","to be scared"
"航空","hángkōng","","5","aviation",""
"好處","hǎochù","","5","benefit","advantage, gain, profit, also pr. [hao3 chu4], CL:個|个[ge4]"
"好好","hǎohǎo","","5","well","carefully, nicely, properly"
"好幾","hǎojǐ","","5","several","quite a few"
"好了","hǎole","","5","",""
"好些","hǎoxiē","","5","a good deal of","quite a lot"
"合唱","héchàng","","5","chorus","to chorus"
"合作","hézuò","","5","to cooperate","to collaborate, to work together, cooperation, CL:個|个[ge4]"
"恨","hèn","","5","to hate","to regret"
"恨不得","hènbude","","5","wishing one could do sth","to hate to be unable, itching to do sth"
"紅包","hóngbāo","","5","money wrapped in red as a gift","bonus payment, kickback, bribe"
"紅豆","hóngdòu","","5","azuki bean","red bean"
"厚","hòu","","5","thick","deep or profound, kind, generous, rich or strong in flavor, to favor, to stress"
"忽然","hūrán","","5","suddenly","all of a sudden"
"糊塗","hútú","","5","muddled","silly, confused"
"互相","hùxiāng","","5","each other","mutually, mutual"
"花心","huāxīn","","5","fickle (in love affairs)","dissipated, unfaithful, heart of a flower (pistil and stamen)"
"滑雪","huáxuě","","5","to ski","skiing"
"畫家","huàjiā","","5","painter","CL:個|个[ge4]"
"話說回來","huàshuōhuílái","","5","returning to our main topic,...","that said,..., again,..., in this connection, in passing, nevertheless,..., anyhow"
"話題","huàtí","","5","subject (of a talk or conversation)","topic"
"化妝品","huàzhuāngpǐn","","5","cosmetic","makeup product"
"壞處","huàichù","","5","harm","troubles, CL:個|个[ge4]"
"環保","huánbǎo","","5","environmental protection","environmentally friendly, abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]"
"回想","huíxiǎng","","5","to recall","to recollect, to think back"
"會場","huìchǎng","","5","meeting place","place where people gather, CL:個|个[ge4]"
"會話","huìhuà","","5","conversation","CL:個|个[ge4],次[ci4]"
"會議","huìyì","","5","meeting","conference, CL:場|场[chang3],屆|届[jie4]"
"婚禮","hūnlǐ","","5","wedding ceremony","wedding, CL:場|场[chang3]"
"婚姻","hūnyīn","","5","matrimony","wedding, marriage, CL:樁|桩[zhuang1],次[ci4]"
"混亂","hùnluàn","","5","confusion","chaos, disorder"
"或許","huòxǔ","","5","perhaps","maybe"
"基本","jīběn","","5","basic","fundamental, main, elementary"
"基礎","jīchǔ","","5","base","foundation, basis, underlying, CL:個|个[ge4]"
"基督教","jīdūjiào","","5","Christianity","Christian"
"激動","jīdòng","","5","to move emotionally","to stir up (emotions), to excite"
"激烈","jīliè","","5","intense","acute, fierce"
"積極","jījí","","5","active","energetic, vigorous, positive (outlook), proactive"
"機器","jīqì","","5","machine","CL:臺|台[tai2],部[bu4],個|个[ge4]"
"及","jí","","5","and","to reach, up to, in time for"
"極了","jíle","","5","extremely","exceedingly"
"擠","jǐ","","5","to crowd in","to cram in, to force others aside, to press, to squeeze, to find (time in one's busy schedule)"
"既","jì","","5","already","since, both... (and...)"
"記錄","jìlù","","5","to record","record (written account), note-taker, record (in sports etc), CL:個|个[ge4]"
"記憶","jìyì","","5","to remember","to recall, memory, CL:個|个[ge4]"
"季節","jìjié","","5","time","season, period, CL:個|个[ge4]"
"紀念","jìniàn","","5","to commemorate","to remember, CL:個|个[ge4]"
"技巧","jìqiǎo","","5","skill","technique"
"繼續","jìxù","","5","to continue","to proceed with, to go on with"
"加強","jiāqiáng","","5","to reinforce","to strengthen, to increase"
"加入","jiārù","","5","to become a member","to join, to mix into, to participate in, to add in"
"加上","jiāshàng","","5","plus","to put in, to add, to add on, to add into, in addition, on top of that"
"加油","jiāyóu","","5","to add oil","to top up with gas, to refuel, to accelerate, to step on the gas, (fig.) to make an extra effort, to cheer sb on"
"家鄉","jiāxiāng","","5","hometown","native place, CL:個|个[ge4]"
"家長","jiāzhǎng","","5","head of a household","family head, patriarch, parent or guardian of a child"
"假如","jiǎrú","","5","if",""
"假裝","jiǎzhuāng","","5","to feign","to pretend"
"假日","jiàrì","","5","holiday","non-working day"
"價值","jiàzhí","","5","value","worth, fig. values (ethical, cultural etc), CL:個|个[ge4]"
"肩膀","jiānbǎng","","5","shoulder",""
"堅持","jiānchí","","5","to persevere with","to persist in, to insist on"
"堅強","jiānqiáng","","5","staunch","strong"
"減","jiǎn","","5","to lower","to decrease, to reduce, to subtract, to diminish"
"減輕","jiǎnqīng","","5","to lighten","to ease, to alleviate"
"減少","jiǎnshǎo","","5","to lessen","to decrease, to reduce, to lower"
"簡直","jiǎnzhí","","5","simply","at all, practically"
"建立","jiànlì","","5","to establish","to set up, to found"
"建設","jiànshè","","5","to build","to construct, construction, constructive"
"建議","jiànyì","","5","to propose","to suggest, to recommend, proposal, suggestion, recommendation, CL:個|个[ge4],點|点[dian3]"
"將來","jiānglái","","5","in the future","future, the future, CL:個|个[ge4]"
"講價","jiǎngjià","","5","to bargain (over price)","to haggle"
"講究","jiǎngjiu","","5","to pay particular attention to","carefully selected for quality, tastefully chosen"
"獎學金","jiǎngxuéjīn","","5","scholarship","CL:個|个[ge4]"
"降低","jiàngdī","","5","to reduce","to lower, to bring down"
"醬油","jiàngyóu","","5","soy sauce",""
"交流","jiāoliú","","5","to exchange","exchange, communication, interaction, to have social contact (with sb)"
"交友","jiāoyǒu","","5","to make friends",""
"驕傲","jiāoào","","5","pride","arrogance, conceited, proud of sth"
"郊區","jiāoqū","","5","suburban district","outskirts, suburbs, CL:個|个[ge4]"
"角度","jiǎodù","","5","angle","point of view"
"角色","jiǎo","","5","role","character in a novel, persona, also pr. [jiao3 se4]"
"教材","jiàocái","","5","teaching material","CL:本[ben3]"
"教導","jiàodǎo","","5","to instruct","to teach, guidance, teaching"
"教法","jiàofǎ","","5","teaching method","teachings, doctrine"
"教練","jiàoliàn","","5","instructor","sports coach, trainer, CL:個|个[ge4],位[wei4],名[ming2]"
"教授","jiàoshòu","","5","professor","to instruct, to lecture on, CL:個|个[ge4],位[wei4]"
"教訓","jiàoxun","","5","lesson","moral, to chide sb, to lecture sb"
"教育","jiàoyù","","5","to educate","to teach, education"
"接觸","jiēchù","","5","to touch","to contact, access, in touch with"
"接受","jiēshòu","","5","to accept","to receive"
"接著","jiēzhe","","5","to catch and hold on","to continue, to go on to do sth, to follow, to carry on, then, after that, subsequently, to proceed, to ensue, in turn, in one's turn"
"結果","jiéguǒ","","5","to bear fruit","outcome, result, conclusion, in the end, as a result, to kill, to dispatch, CL:個|个[ge4]"
"結局","jiéjú","","5","conclusion","ending"
"節日","jiérì","","5","holiday","festival, CL:個|个[ge4]"
"解決","jiějué","","5","to settle (a dispute)","to resolve, to solve, to dispose of, to dispatch"
"姊妹","jiěmèi","","5","(older and younger) sisters","sister (school, city etc)"
"僅","jǐn","","5","barely","only, merely"
"儘管","jǐnguǎn","","5","despite","although, even though, in spite of, unhesitatingly, do not hesitate (to ask, complain etc), (go ahead and do it) without hesitating"
"盡","jìn","","5","to use up","to exhaust, to end, to finish, to the utmost, exhausted, finished, to the limit (of sth), all, entirely"
"進行","jìnxíng","","5","to advance","to conduct, underway, in progress, to do, to carry out, to carry on, to execute"
"進一步","jìnyíbù","","5","one step further","to move forward a step, further onwards"
"經費","jīngfèi","","5","funds","expenditure, CL:筆|笔[bi3]"
"精神","jīngshén","","5","spirit","mind, consciousness, thought, mental, psychological, essence, gist, vigor, vitality, drive, spiritual, CL:個|个[ge4]"
"驚訝","jīngyà","","5","amazed","astonished, to surprise, amazing, astonishment, awe"
"酒吧","jiǔbā","","5","bar","pub, saloon, CL:家[jia1]"
"舅舅","jiùjiu","","5","mother's brother","maternal uncle (informal), CL:個|个[ge4]"
"舅媽","jiùmā","","5","(coll.) aunt","maternal uncle's wife"
"就是","jiùshì","","5","(emphasizes that sth is precisely or exactly as stated)","precisely, exactly, even, if, just like, in the same way as"
"就算","jiùsuàn","","5","granted that","even if"
"就要","jiùyào","","5","will","shall, to be going to"
"居住","jūzhù","","5","to reside","to dwell, to live in a place, resident in"
"橘子","júzi","","5","tangerine","CL:個|个[ge4],瓣[ban4]"
"舉","jǔ","","5","to lift","to hold up, to cite, to enumerate, to act, to raise, to choose, to elect, act, move, deed"
"舉辦","jǔbàn","","5","to conduct","to hold"
"舉手","jǔshǒu","","5","to raise a hand","to put up one's hand (as signal)"
"舉行","jǔxíng","","5","to hold (a meeting, ceremony etc)",""
"聚","jù","","5","to congregate","to assemble, to mass, to gather together, to amass, to polymerize"
"劇本","jùběn","","5","script for play, opera, movie etc","screenplay, scenario"
"劇情","jùqíng","","5","story line","plot"
"拒絕","jùjué","","5","to refuse","to decline, to reject"
"距離","jùlí","","5","distance","to be apart from, CL:個|个[ge4]"
"具有","jùyǒu","","5","to have","to possess"
"絕對","juéduì","","5","absolute","unconditional"
"軍隊","jūnduì","","5","army","troops, CL:支[zhi1],個|个[ge4]"
"軍人","jūnrén","","5","serviceman","soldier, military personnel"
"卡車","kǎchē","","5","truck","CL:輛|辆[liang4]"
"開放","kāifàng","","5","to bloom","to open, to be open (to the public), to open up (to the outside), to be open-minded, unrestrained by convention, unconstrained in one's sexuality"
"開花","kāihuā","","5","to bloom","to blossom, to flower, fig. to burst open, to feel happy or elated, new development grows out"
"開朗","kāilǎng","","5","spacious and well-lit","open and clear, (of character) optimistic, cheerful, carefree"
"開玩笑","kāiwánxiào","","5","to play a joke","to make fun of, to joke"
"看不起","kànbuqǐ","","5","to look down upon","to despise"
"看法","kànfǎ","","5","way of looking at a thing","view, opinion, CL:個|个[ge4]"
"看起來","kànqǐlái","","5","seemingly","apparently, looks as if, appear to be, gives the impression that, seems on the face of it to be"
"棵","kē","","5","classifier for trees, cabbages, plants etc",""
"刻","kè","","5","quarter (hour)","moment, to carve, to engrave, to cut, oppressive, classifier for short time intervals"
"科技","kējì","","5","science and technology",""
"可靠","kěkào","","5","reliable",""
"可樂","kělè","","5","amusing","entertaining, (loanword) cola"
"可惡","kěwù","","5","repulsive","vile, hateful, abominable"
"可惜","kěxí","","5","it is a pity","what a pity, unfortunately"
"渴望","kěwàng","","5","to thirst for","to long for"
"克服","kèfú","","5","(try to) overcome (hardships etc)","to conquer, to put up with, to endure"
"課程","kèchéng","","5","course","academic program, CL:堂[tang2],節|节[jie2],門|门[men2]"
"課堂","kètáng","","5","classroom","CL:間|间[jian1]"
"課文","kèwén","","5","text","CL:篇[pian1]"
"客滿","kèmǎn","","5","to have a full house","to be sold out, no vacancy"
"肯","kěn","","5","to agree","to consent, to be ready (to do sth), willing, old variant of 肯[ken3]"
"肯定","kěndìng","","5","to be certain","to be positive, assuredly, definitely, to give recognition, to affirm, affirmative (answer)"
"空間","kōngjiān","","5","space","room, (fig.) scope, leeway, (astronomy) outer space, (physics, math.) space"
"空軍","kōngjūn","","5","air force",""
"恐怕","kǒngpà","","5","fear","to dread, I'm afraid that..., perhaps, maybe"
"口袋","kǒudài","","5","pocket","bag, sack, CL:個|个[ge4]"
"口味","kǒuwèi","","5","a person's preferences","tastes (in food), flavor"
"誇張","kuāzhāng","","5","to exaggerate","overstated, exaggerated, hyperbole, (coll.) excessive, ridiculous, outrageous"
"快要","kuàiyào","","5","almost","nearly, almost all"
"寬","kuān","","5","lenient","wide, broad, surname Kuan"
"況且","kuàngqiě","","5","moreover","besides, in addition, furthermore"
"困難","kùnnán","","5","difficult","challenging, straitened circumstances, difficult situation"
"擴大","kuòdà","","5","to expand","to enlarge, to broaden one's scope"
"拉肚子","lādùzi","","5","(coll.) to have diarrhea",""
"啦","la","","5","(onom.) sound of singing, cheering etc","(phonetic), (dialect) to chat, sentence-final particle, contraction of 了啊, indicating exclamation, particle placed after each item in a list of examples"
"來不及","láibùjí","","5","there's not enough time (to do sth)","it's too late (to do sth)"
"來得及","láidejí","","5","there's still time","able to do sth in time"
"浪漫","làngmàn","","5","romantic",""
"老公","lǎogōng","","5","(coll.) husband","(coll.) eunuch, see also 老公[lao3 gong1]"
"老虎","lǎohǔ","","5","tiger","CL:隻|只[zhi1]"
"老婆","lǎopo","","5","(coll.) wife",""
"老實","lǎoshi","","5","honest","sincere, well-behaved, open and guileless, naive"
"老是","lǎoshì","","5","always",""
"樂觀","lèguān","","5","optimistic","hopeful"
"樂趣","lèqù","","5","delight","pleasure, joy"
"垃圾","lèsè","","5","trash","refuse, garbage, (coll.) of poor quality, Taiwan pr. [le4 se4]"
"淚","lèi","","5","tears",""
"類","lèi","","5","kind","type, class, category, similar, like, to resemble"
"冷淡","lěngdàn","","5","cold","indifferent"
"離婚","líhūn","","5","to divorce","divorced from (one's spouse)"
"裡邊","lǐbiān","","5","inside",""
"理解","lǐjiě","","5","to comprehend","to understand, comprehension, understanding"
"理論","lǐlùn","","5","theory","to argue, to take notice of, CL:個|个[ge4]"
"理想","lǐxiǎng","","5","an ideal","a dream, ideal, perfect"
"裏面","lǐmiàn","","5","",""
"禮堂","lǐtáng","","5","assembly hall","auditorium, CL:座[zuo4],處|处[chu4]"
"力量","lìlìang","","5","power","force, strength"
"厲害","lìhai","","5","difficult to deal with","difficult to endure, ferocious, radical, serious, terrible, violent, tremendous, awesome"
"立刻","lìkè","","5","forthwith","immediate, prompt, promptly, straightway, thereupon, at once"
"例如","lìrú","","5","for example","for instance, such as"
"例子","lìzi","","5","case","(for) instance, example, CL:個|个[ge4]"
"利益","lìyì","","5","benefit","(in sb's) interest, CL:個|个[ge4]"
"利用","lìyòng","","5","to exploit","to make use of, to use, to take advantage of, to utilize"
"連","lián","","5","to link","to join, to connect, continuously, in succession, including, (used with 也, 都 etc) even, company (military), surname Lian"
"連續劇","liánxùjù","","5","serialized drama","dramatic series, show in parts"
"戀愛","liànài","","5","(romantic) love","in love, to have an affair, CL:個|个[ge4],場|场[chang3]"
"良好","liánghǎo","","5","good","favorable, well, fine"
"了不起","liǎobuqǐ","","5","amazing","terrific, extraordinary"
"靈魂","línghún","","5","soul","spirit"
"零錢","língqián","","5","change (of money)","small change, pocket money"
"零用錢","língyòngqián","","5","pocket money","allowance, spending money"
"領導","lǐngdǎo","","5","lead","leading, to lead, leadership, leader, CL:位[wei4],個|个[ge4]"
"領域","lǐngyù","","5","domain","sphere, field, territory, area"
"令","lìng","","5","classifier for a ream of paper","to order, to command, an order, warrant, writ, to cause, to make sth happen, virtuous, honorific title, season, government position (old), see 令狐[Ling2 hu2], see 脊令[ji2 ling2]"
"流汗","liúhàn","","5","to sweat",""
"流血","liúxiě","","5","to bleed","to shed blood"
"留學","liúxué","","5","to study abroad",""
"留學生","liúxuéshēng","","5","student studying abroad","(foreign) exchange student, CL:個|个[ge4],位[wei4]"
"龍","lóng","","5","dragon","imperial, surname Long, CL:條|条[tiao2]"
"錄取","lùqǔ","","5","to accept an applicant (prospective student, employee etc) who passes an entrance exam","to admit (a student), to hire (a job candidate)"
"錄音","lùyīn","","5","to record (sound)","sound recording, CL:個|个[ge4]"
"露營","lùyíng","","5","to camp out","camping"
"輪胎","lúntāi","","5","tire","pneumatic tire"
"旅客","lǚkè","","5","traveler","tourist"
"律師","lǜshī","","5","lawyer",""
"馬桶","mǎtǒng","","5","chamber pot","wooden pan used as toilet, toilet bowl"
"碼頭","mǎtou","","5","dock","pier, wharf, CL:個|个[ge4]"
"螞蟻","mǎyǐ","","5","ant",""
"罵","mà","","5","to scold","to abuse, to curse, CL:通[tong4],頓|顿[dun4]"
"嘛","ma","","5","modal particle indicating that sth is obvious","particle indicating a pause for emphasis"
"滿足","mǎnzú","","5","to satisfy","to meet (the needs of), satisfied, content"
"慢慢","mànmàn","","5","slowly",""
"慢跑","mànpǎo","","5","jogging","to jog, to canter, a slow trot"
"慢用","mànyòng","","5","same as 慢慢吃[man4 man4 chi1]",""
"毛病","máobìng","","5","fault","defect, shortcomings, ailment, CL:個|个[ge4]"
"貿易","màoyì","","5","(commercial) trade","CL:個|个[ge4]"
"沒什麼","méishénme","","5","nothing","it doesn't matter, it's nothing, never mind"
"沒想到","méixiǎngdào","","5","didn't expect",""
"玫瑰","méigui","","5","rugosa rose (shrub) (Rosa rugosa)","rose flower, CL:朵[duo3],棵[ke1]"
"美好","měihǎo","","5","beautiful","fine"
"夢","mèng","","5","dream","CL:場|场[chang2],個|个[ge4]"
"迷路","mílù","","5","to lose the way","lost, labyrinth, labyrinthus vestibularis (of the inner ear)"
"迷人","mírén","","5","fascinating","enchanting, charming, tempting"
"米飯","mǐfàn","","5","(cooked) rice",""
"米粉","mǐfěn","","5","rice flour","rice-flour noodles, (Internet slang) Xiaomi fan"
"秘","mìmì","","5","secret","secretary, variant of 秘[mi4], see 秘魯|秘鲁[Bi4 lu3]"
"密切","mìqiè","","5","close","familiar, intimate, closely (related), to foster close ties, to pay close attention"
"免費","miǎnfèi","","5","free (of charge)",""
"面積","miànjī","","5","area (of a floor, piece of land etc)","surface area, tract of land"
"面前","miànqián","","5","in front of","facing, (in the) presence (of)"
"麵條","miàntiáo","","5","noodles",""
"描寫","miáoxiě","","5","to describe","to depict, to portray, description"
"秒","miǎo","","5","second (unit of time)","arc second (angular measurement unit), (coll.) instantly"
"廟","miào","","5","temple","ancestral shrine, temple fair, great imperial hall, imperial, CL:座[zuo4]"
"民國","mínguó","","5","Republic of China (1912-1949)","used in Taiwan as the name of the calendar era (e.g. 民國六十年|民国六十年 is 1971, the 60th year after 1911)"
"民族","mínzú","","5","nationality","ethnic group, CL:個|个[ge4]"
"名詞","míngcí","","5","noun",""
"明白","míngbái","","5","clear","obvious, unequivocal, to understand, to realize"
"明顯","míngxiǎn","","5","clear","distinct, obvious"
"明星","míngxīng","","5","star","celebrity"
"摸","mō","","5","to feel with the hand","to touch, to stroke, to grope, to steal, to abstract, variant of 摹[mo2]"
"摩托車","mótuōchē","","5","motorbike","motorcycle (loanword), CL:輛|辆[liang4],部[bu4]"
"陌生","mòshēng","","5","strange","unfamiliar"
"某","mǒu","","5","some","a certain, sb or sth indefinite, such-and-such"
"木","mù","","5","tree","wood, coffin, wooden, simple, numb, one of the eight ancient musical instruments 八音[ba1 yin1], surname Mu"
"木頭","mùtou","","5","slow-witted","blockhead, log (of wood, timber etc), CL:塊|块[kuai4],根[gen1]"
"目的","mùdì","","5","purpose","aim, goal, target, objective, CL:個|个[ge4]"
"目前","mùqián","","5","at the present time","currently"
"拿手","náshǒu","","5","expert in","good at"
"哪些","nǎxiē","","5","which ones?","who?, what?"
"那樣","nàyàng","","5","that kind","that sort"
"奶茶","nǎichá","","5","milk tea",""
"耐心","nàixīn","","5","to be patient","patience"
"南方","nánfāng","","5","south","the southern part of the country, the South"
"難怪","nánguài","","5","(it's) no wonder (that...)","(it's) not surprising (that)"
"難看","nánkàn","","5","ugly","unsightly"
"腦子","nǎozi","","5","brains","mind, CL:個|个[ge4]"
"鬧鐘","nàozhōng","","5","alarm clock",""
"內容","nèiróng","","5","content","substance, details, CL:個|个[ge4],項|项[xiang4]"
"能夠","nénggòu","","5","to be capable of","to be able to, can"
"能力","nénglì","","5","capability","ability, CL:個|个[ge4]"
"年代","niándài","","5","a decade of a century (e.g. the Sixties)","age, era, period, CL:個|个[ge4]"
"年齡","niánlíng","","5","(a person's) age","CL:把[ba3],個|个[ge4]"
"年年","niánnián","","5","year after year","yearly, every year, annually"
"念書","niànshū","","5","to read","to study"
"農業","nóngyè","","5","agriculture","farming"
"女士","nǚshì","","5","lady","madam, Miss, Ms, CL:個|个[ge4],位[wei4]"
"喔","ō","","5","I see","oh, (particle) marker of surprise, sudden realization, reminder"
"哦","ó","","5","to chant","oh (interjection indicating doubt or surprise), oh (interjection indicating that one has just learned sth), sentence-final particle that conveys informality, warmth, friendliness or intimacy, may also indicate that one is stating a fact that the other person is not aware of"
"噢","yǔ","","5","Oh!",""
"拍","pāi","","5","to pat","to clap, to slap, to swat, to take (a photo), to shoot (a film), racket (sports), beat (music)"
"牌子","páizi","","5","sign","trademark, brand"
"盼望","pànwàng","","5","to hope for","to look forward to"
"陪","péi","","5","to accompany","to keep sb company, to assist, old variant of 賠|赔[pei2]"
"培養","péiyǎng","","5","to cultivate","to breed, to foster, to nurture, to educate, to groom (for a position), education, fostering, culture (biology)"
"配","pèi","","5","to join","to fit, to mate, to mix, to match, to deserve, to make up (a prescription), to allocate"
"配合","pèihé","","5","matching","fitting in with, compatible with, to correspond, to fit, to conform to, rapport, to coordinate with, to act in concert with, to cooperate, to become man and wife, to combine parts of machine"
"碰","pèng","","5","to touch","to meet with, to bump, variant of 碰[peng4], old variant of 碰[peng4]"
"碰到","pèngdào","","5","to come across","to run into, to meet, to hit"
"碰上","pèngshàng","","5","to run into","to come upon, to meet"
"批評","pīpíng","","5","to criticize","criticism, CL:個|个[ge4]"
"皮帶","pídài","","5","strap","leather belt, CL:條|条[tiao2],根[gen1]"
"皮膚","pífū","","5","skin","CL:層|层[ceng2],塊|块[kuai4]"
"皮鞋","píxié","","5","leather shoes",""
